"ID","Title","Attachments","Expected Result","Priority","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Step)","Type"
"C395345","Create Configurable Product","https://virtowayqa.testrail.io/index.php?/attachments/get/1000004467","","Medium","Configurable product > Product section","2","","Product details page > Configurable Products > Configurable product > Product section","","Step Description:
1. Go to admin site > Catalog
2. Create a physical product (ex. Bed with additional options)
3.  Click on the Configuration widget
4. Add new section (ex. Mattress)
5. Add items
6. Enable configuration and Save



Expected Result:
The product is created","","The product is created","","1. Go to admin site > Catalog
2. Create a physical product (ex. Bed with additional options)
3.  Click on the Configuration widget
4. Add new section (ex. Mattress)
5. Add items
6. Enable configuration and Save


","Other"
"","","","","","","","","","","
Step Description:
1. Open Frontend
2. Catalog > Find config product
3. Check the Product Card
Expected Result:
The configurable product is created successfully and appears in the catalog
The button Customized is shown

---

 ![](index.php?/attachments/get/1000004467) 
","","The configurable product is created successfully and appears in the catalog
The button Customized is shown

---

 ![](index.php?/attachments/get/1000004467) 
","","1. Open Frontend
2. Catalog > Find config product
3. Check the Product Card",""
"","","","","","","","","","","
Step Description:
Click the button Customize
Expected Result:
The Product details page is open successfully","","The Product details page is open successfully","","Click the button Customize",""
"C395427","Check Config product card > Open PDP","","","Medium","Configurable product > Product section","2","","Product details page > Configurable Products > Configurable product > Product section","","","","","","","Other"
"C395426","Search the configuration product > Open PDP","","","Medium","Configurable product > Product section","2","","Product details page > Configurable Products > Configurable product > Product section","","","","","","","Other"
"C395346","Add Configuration Section","","The configuration section is added with products","Medium","Configurable product > Product section","2","","Product details page > Configurable Products > Configurable product > Product section","1. Open the configurable product(ex. Bike)
2. Click on Associations widget
3. Add a new group name configuration section with the specified attributes.

- Name: """"Bike Components""""
- Optional/Mandatory: Mandatory
- Quantity: 2
- Add items
- Select products

4. Save changes
5. Check Config product in Frontend","","","","","","Other"
"C395428","Configurable Product PDP > View","","","Medium","Configurable product > Product section","2","","Product details page > Configurable Products > Configurable product > Product section","","Step Description:
1. **Navigate to the Configurable Product Page**  
   - Open the product page (ex. Bed with Additional Options.)
   - Click the Create Your Own Configuration button





Expected Result:
1. The configuration product page is opened successfully
2. The Create Your Own Configuration is displayed and scrolling the page to first section

","","1. The configuration product page is opened successfully
2. The Create Your Own Configuration is displayed and scrolling the page to first section

","","1. **Navigate to the Configurable Product Page**  
   - Open the product page (ex. Bed with Additional Options.)
   - Click the Create Your Own Configuration button




","Other"
"","","","","","","","","","","
Step Description:
2. **Verify Page Structure**  
   - Confirm the title CONFIGURE THE PARAMETERS is displayed at the top of the configuration section.  
   - Check that sections (e.g., BED LINEN SET, MATTRESS,SOFT PILLOWS, BLANKETS) are displayed as accordions.

Expected Result:
The CONFIGURE THE PARAMETERS title and sections are displayed correctly.","","The CONFIGURE THE PARAMETERS title and sections are displayed correctly.","","2. **Verify Page Structure**  
   - Confirm the title CONFIGURE THE PARAMETERS is displayed at the top of the configuration section.  
   - Check that sections (e.g., BED LINEN SET, MATTRESS,SOFT PILLOWS, BLANKETS) are displayed as accordions.
",""
"","","","","","","","","","","
Step Description:
3. **Verify Default Section State**  
   - Ensure that the first section is expanded by default.  
   - Confirm other sections are collapsed.
Expected Result:
Sections expand and collapse as expected.  ","","Sections expand and collapse as expected.  ","","3. **Verify Default Section State**  
   - Ensure that the first section is expanded by default.  
   - Confirm other sections are collapsed.",""
"","","","","","","","","","","
Step Description:
4. **Verify Section Options**  
   - In the section:  
     - Verify that the following options are displayed with corresponding prices:  
       - **Mattress cover Fitted sheet, light pink, 90x200 cm**: $20.00  
       - **Bed with Additional Options Configurable bed**: $299.00  
       - **None**: No cost.  
     - Check that a radio button is displayed beside each option.  


Expected Result:
Radio buttons for all options are visible, selectable, and reflect the appropriate prices.  
The total price updates dynamically based on selected options. 

","","Radio buttons for all options are visible, selectable, and reflect the appropriate prices.  
The total price updates dynamically based on selected options. 

","","4. **Verify Section Options**  
   - In the section:  
     - Verify that the following options are displayed with corresponding prices:  
       - **Mattress cover Fitted sheet, light pink, 90x200 cm**: $20.00  
       - **Bed with Additional Options Configurable bed**: $299.00  
       - **None**: No cost.  
     - Check that a radio button is displayed beside each option.  

",""
"","","","","","","","","","","
Step Description:
5. **Select Options**  
   - Select the Mattress cover Fitted sheet, light pink, 90x200 cm option.  
   - Verify that the radio button is checked and the price updates to reflect the selection.  

Expected Result:
Radio buttons for all options are visible, selectable, and reflect the appropriate prices.  
The total price updates dynamically based on selected options.  

","","Radio buttons for all options are visible, selectable, and reflect the appropriate prices.  
The total price updates dynamically based on selected options.  

","","5. **Select Options**  
   - Select the Mattress cover Fitted sheet, light pink, 90x200 cm option.  
   - Verify that the radio button is checked and the price updates to reflect the selection.  
",""
"","","","","","","","","","","
Step Description:
6. **Verify Price Calculation**  
   - Verify that the total price updates dynamically in the PRICE AND DELIVERY section based on selected options.

Expected Result:
The total price updates dynamically based on selected options.","","The total price updates dynamically based on selected options.","","6. **Verify Price Calculation**  
   - Verify that the total price updates dynamically in the PRICE AND DELIVERY section based on selected options.
",""
"","","","","","","","","","","
Step Description:
7. **Collapse and Expand Sections**  
   - Collapse the BED LINEN SET section and verify that it collapses properly.  
   - Expand another section (e.g., MATTRESS) and confirm it displays the correct placeholder text (e.g., Nothing selected).



Expected Result:
Sections expand and collapse as expected.  
","","Sections expand and collapse as expected.  
","","7. **Collapse and Expand Sections**  
   - Collapse the BED LINEN SET section and verify that it collapses properly.  
   - Expand another section (e.g., MATTRESS) and confirm it displays the correct placeholder text (e.g., Nothing selected).


",""
"","","","","","","","","","","
Step Description:
8. **Verify """"None"""" Option**  
   - Select the None option in the BED LINEN SET section.  
   - Verify that the price adjusts to exclude the cost of any items in this section.

Expected Result:
Selecting None removes the cost of items in that section. ","","Selecting None removes the cost of items in that section. ","","8. **Verify ""None"" Option**  
   - Select the None option in the BED LINEN SET section.  
   - Verify that the price adjusts to exclude the cost of any items in this section.
",""
"","","","","","","","","","","
Step Description:
9. **Verify Stock and Add to Cart** [Draft. Skip] 
   - Confirm the stock indicator (e.g., 12 in stock) updates dynamically based on selected options.  
   - Click ADD TO CART and verify the selected configuration is included in the cart.


Expected Result:
The cart displays the selected configuration, options, and total price accurately.","","The cart displays the selected configuration, options, and total price accurately.","","9. **Verify Stock and Add to Cart** [Draft. Skip] 
   - Confirm the stock indicator (e.g., 12 in stock) updates dynamically based on selected options.  
   - Click ADD TO CART and verify the selected configuration is included in the cart.

",""
"C395347","Validate Mandatory and Optional Sections","","Mandatory sections have one pre-selected option. Optional sections have 'None' pre-selected by default.

*In the mandatory section, one option is pre-selected by default.*
*In the optional section, """"None"""" is pre-selected by default*","Medium","Configurable product > Product section","2","","Product details page > Configurable Products > Configurable product > Product section","1. Create mandatory and optional sections.
*Section 1 (Mandatory): """"Pedals"""" and """"Seat.""""*
*Section 2 (Optional): """"Basket"""" and """"None.""""*
2. Save changes and view the product configuration page.","","","","","","Other"
"C395348","Select several sections > Check Price Calculation","","The product price is the sum of the base product price and the selected options.
options (e.g., $10 + $20 = $30).","Medium","Configurable product > Product section","2","","Product details page > Configurable Products > Configurable product > Product section","1. Add a configurable product to the cart with selected options.

-Option 1: Pedals ($10)
-Option 2: Seat ($20)
2. Check the cart details for the product price.","","","","","","Other"
"C395352","Set Quantity for configuration > Prices and totals recalculated","","","Medium","Configurable product > Product section","2","","Product details page > Configurable Products > Configurable product > Product section","","Step Description:
1. Open config product in Front
2. Select option
3. Check qty and totals
Expected Result:
For each product configuration, verify the quantity is displayed correctly (e.g., """"2"""").
-the subtotal for each configuration is calculated as (Price per item) x (Quantity).
-the total cart subtotal matches the sum of all individual product subtotals.

!!Totals are recalculated. Main Price + Option total price
","","For each product configuration, verify the quantity is displayed correctly (e.g., ""2"").
-the subtotal for each configuration is calculated as (Price per item) x (Quantity).
-the total cart subtotal matches the sum of all individual product subtotals.

!!Totals are recalculated. Main Price + Option total price
","","1. Open config product in Front
2. Select option
3. Check qty and totals","Other"
