"ID","Title","Expected Result","Priority","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Step)","Type"
"C407465","Cart > View","","Medium","Multi-step checkout > Cart","0","Settings for multistep checkout:

https://github.com/VirtoCommerce/vc-theme-b2b-vue/blob/demo/config/settings_data.json

- """"checkout_multistep_enabled"""": true","Multi-step checkout > Cart","","Step Description:
Go to Cart
Check the cart
Expected Result:
The next elements are displayed:

- The page address is Url/cart

- Breadcrumbs: Home/Cart

- Title: Cart

- Products block

- Vendor groups with Line-items

- Add a gift with checkbox (optional)

- Order Summary

- Promotion code field

- Proceed to Checkout

- Add items to Quote ( displayed for registered users)

- Infinity scroll

 ![](index.php?/attachments/get/18ad6c67-4237-4422-b770-1f3cb67780f6) 





  
","","The next elements are displayed:

- The page address is Url/cart

- Breadcrumbs: Home/Cart

- Title: Cart

- Products block

- Vendor groups with Line-items

- Add a gift with checkbox (optional)

- Order Summary

- Promotion code field

- Proceed to Checkout

- Add items to Quote ( displayed for registered users)

- Infinity scroll

 ![](index.php?/attachments/get/18ad6c67-4237-4422-b770-1f3cb67780f6) 





  
","","Go to Cart
Check the cart","Other"
"C407466","Cart > Grouping by vendor","","Medium","Multi-step checkout > Cart","0","Settings for multistep checkout:

https://github.com/VirtoCommerce/vc-theme-b2b-vue/blob/demo/config/settings_data.json

- """"checkout_multistep_enabled"""": true","Multi-step checkout > Cart","","Step Description:
Go to Catalog
Add to cart Products with Vendors
Add products without vendor

Expected Result:
Products were placed into the cart","","Products were placed into the cart","","Go to Catalog
Add to cart Products with Vendors
Add products without vendor
","Other"
"","","","","","","","","","
Step Description:
Go to cart
Check Product block
Expected Result:
All items are grouped by appropriate Vendor Group.

The vendor group name is displayed as Vendor:companyName

The product without vendor moved to Vendor: N/A

The subtotal is calculated by each section

  


","","All items are grouped by appropriate Vendor Group.

The vendor group name is displayed as Vendor:companyName

The product without vendor moved to Vendor: N/A

The subtotal is calculated by each section

  


","","Go to cart
Check Product block",""
"C407467","Cart > Remove all items from one Vendor block","","Medium","Multi-step checkout > Cart","0","Settings for multistep checkout:

https://github.com/VirtoCommerce/vc-theme-b2b-vue/blob/demo/config/settings_data.json

- """"checkout_multistep_enabled"""": true","Multi-step checkout > Cart","","","","","","","Other"
"C407468","Cart > Change line-item qty","All amount of the items for Product_1-Product_3 has changed.","Medium","Multi-step checkout > Cart","0","Settings for multistep checkout:

https://github.com/VirtoCommerce/vc-theme-b2b-vue/blob/demo/config/settings_data.json

- """"checkout_multistep_enabled"""": true","Multi-step checkout > Cart","Open the Checkout page
Change the amount of the item  (for example 2 items each) for the Product_1-Product_3","","","","","","Automated"
"C407469","Cart > Change line-item qty > Enter 8 digits","","Medium","Multi-step checkout > Cart","0","Settings for multistep checkout:

https://github.com/VirtoCommerce/vc-theme-b2b-vue/blob/demo/config/settings_data.json

- """"checkout_multistep_enabled"""": true","Multi-step checkout > Cart","","Step Description:
Add products to the cart

Start to enter digits with a little pause 12345678
Expected Result:
User can enter only 6 digits","","User can enter only 6 digits","","Add products to the cart

Start to enter digits with a little pause 12345678","Other"
"C407470","Cart > Change quantity of items > Quick change quantity","","Medium","Multi-step checkout > Cart","0","Settings for multistep checkout:

https://github.com/VirtoCommerce/vc-theme-b2b-vue/blob/demo/config/settings_data.json

- """"checkout_multistep_enabled"""": true","Multi-step checkout > Cart","","Step Description:
Add products to the cart
Quick change the qty for one line-item several times
Expected Result:
1. Quantity does not return to the previous value if you change it quickly 
2. Each number is displayed
3. The total is calculated","","1. Quantity does not return to the previous value if you change it quickly 
2. Each number is displayed
3. The total is calculated","","Add products to the cart
Quick change the qty for one line-item several times","Other"
"","","","","","","","","","
Step Description:
Quick change the qty for multiple line-items
Expected Result:
1. Quantity does not return to the previous value if you change it quickly 
2. Each number is displayed
3. The total is calculated","","1. Quantity does not return to the previous value if you change it quickly 
2. Each number is displayed
3. The total is calculated","","Quick change the qty for multiple line-items",""
"C407471","Cart > Change line-item qty (validation)","","Medium","Multi-step checkout > Cart","0","Settings for multistep checkout:

https://github.com/VirtoCommerce/vc-theme-b2b-vue/blob/demo/config/settings_data.json

- """"checkout_multistep_enabled"""": true","Multi-step checkout > Cart","","Step Description:
Enter a decimal value (ex. 2.5)
Expected Result:
User is not able to enter the decimal value","","User is not able to enter the decimal value","","Enter a decimal value (ex. 2.5)","Other"
"","","","","","","","","","
Step Description:
Enter text 2e4 or e value
Expected Result:
User is not able to enter the text value","","User is not able to enter the text value","","Enter text 2e4 or e value",""
