"ID","Title","Attachments","Expected Result","Priority","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Step)","Type"
"C388947","Check that routes.json was auto-generated (deprecated)","https://virtowayqa.testrail.io/index.php?/attachments/get/1000004242","The file was generated

 ![](index.php?/attachments/get/f0155d77-71fd-4625-92eb-e850ec95b445) 

","Low","Routing","0","","Routing","Go to admin > Content > Open active store (ex. B2B-store)
Open Themes > Find Config folder

","","","","","","Other"
"C388948","Valid path > the page from  routes.json file > Status code is 200","https://virtowayqa.testrail.io/index.php?/attachments/get/1000001977, https://virtowayqa.testrail.io/index.php?/attachments/get/1000000474","","Medium","Routing","0","","Routing","","Step Description:
Open console &gt; Network &gt; filter All 
Check the status for this page in the header
Expected Result:
The page opens without errors. The status code is 200

 ![](index.php?/attachments/get/196e61c6-04cc-4d7a-a126-0f387378cd65) 

","","The page opens without errors. The status code is 200

 ![](index.php?/attachments/get/196e61c6-04cc-4d7a-a126-0f387378cd65) 

","","Open console &gt; Network &gt; filter All 
Check the status for this page in the header","Other"
"C388949","Valid path > Category exists > Status code 200","","","Medium","Routing","0","","Routing","","","","","","","Other"
"C388950","Invalid path > URL/aaa/category1/subcategory1 > Status code 404","","","Medium","Routing","0","","Routing","","","","","","","Other"
"C388951","Valid path > Product exists > Status code 200","","","Medium","Routing","0","","Routing","","","","","","","Other"
"C388952","Invalid path > URL/404/category/subcategory/product_slug > Status code 404","","","Medium","Routing","0","","Routing","","","","","","","Other"
"C388953","Valid path > Static content exists > Status code 200","","","Medium","Routing","0","","Routing","","","","","","","Other"
"C388954","Invalid path > Static content does not exists > Status code 404","","","Medium","Routing","0","","Routing","","","","","","","Other"
"C388955","Invalid path > URL/aaa/Page > Status code 404","","","Medium","Routing","0","","Routing","","","","","","","Other"
"C389061","Registration form > PERSONAL> general view","","","Medium","Registration  (Desktop+Mobile)","0","","Registration  (Desktop+Mobile)","","Step Description:
1. Click the link  from the header Registration
Expected Result:
1. User redirect to the registration page 
2. Registration form opens","","1. User redirect to the registration page 
2. Registration form opens","","1. Click the link  from the header Registration","Automated"
"","","","","","","","","","","
Step Description:
1. Open home page.
2. On sigh in form click button Register
Expected Result:
1. User redirect to the registration page 
2. Registration form opens","","1. User redirect to the registration page 
2. Registration form opens","","1. Open home page.
2. On sigh in form click button Register",""
"","","","","","","","","","","
Step Description:
1. Open the Sign-in page from the header.
2. On sigh in form click button Register
Expected Result:
1. User redirect to the registration page 
2. Registration form opens","","1. User redirect to the registration page 
2. Registration form opens","","1. Open the Sign-in page from the header.
2. On sigh in form click button Register",""
