"ID","Title","Attachments","Expected Result","Priority","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Step)","Type"
"C406249","Visibility of all main categories","","All top-level categories are visible in the horizontal menu","Medium","Horizontal linked list menu","2","","Catalog menu > Mega menu > Horizontal linked list menu","1. Load catalog page","","","","","","Functional"
"C406250","Navigation to category page","","User is navigated to /jewelry-and-gems page","High","Horizontal linked list menu","2","","Catalog menu > Mega menu > Horizontal linked list menu","1. Click on 'Jewelry and gems' category","","","","","","Functional"
"C406251","Highlight/selection of active category","","'Printers' category is highlighted as active","Low","Horizontal linked list menu","2","","Catalog menu > Mega menu > Horizontal linked list menu","1. Click 'Printers' category","","","","","","Other"
"C406252","Ensure products shown match the category","","Only soft drinks are listed on product results","High","Horizontal linked list menu","2","","Catalog menu > Mega menu > Horizontal linked list menu","1. Click 'Soft drinks' category","","","","","","Functional"
"C406254","Category name check","","Categories are hidden, several remain on the page","Low","Horizontal linked list menu","2","","Catalog menu > Mega menu > Horizontal linked list menu","1. Check display on narrow screens","","","","","","Other"
"C406255","Behavior when category page has no products","","Message like 'No products found' is shown","Low","Horizontal linked list menu","2","","Catalog menu > Mega menu > Horizontal linked list menu","1. Click category with no products","","","","","","Other"
"C406256","Broken link handling","","Page shows 404 or graceful error","Medium","Horizontal linked list menu","2","","Catalog menu > Mega menu > Horizontal linked list menu","1. Click modified link","","","","","","Other"
"C406257","Category list overflow handling","","Categories are hidden, several remain on the page, categories remain usable","High","Horizontal linked list menu","2","","Catalog menu > Mega menu > Horizontal linked list menu","1. Shrink window size","","","","","","Other"
"C406258","Consistency of categories across pages","","Menu remains consistent across views","Low","Horizontal linked list menu","2","","Catalog menu > Mega menu > Horizontal linked list menu","1. Compare category menu across different pages","","","","","","Other"
"C389622","Product with variations > general view (theme version less than 1.57)","https://virtowayqa.testrail.io/index.php?/attachments/get/1000002393, https://virtowayqa.testrail.io/index.php?/attachments/get/1000000471","","Medium","Default variation layout","2","","Product details page > Variations  (Desktop+Mobile) > Default variation layout","","Step Description:
1. Open product_1 with variations
2. Look through the page.


Expected Result:
1. The product details page contains:

- Breadcrumbs
- Product title
- Product main image
- Product Image Gallery
- Properties with See more/ See less buttons
- Descriptions with See more/ See less buttons
- Specifications
- Customize your order

- Related products section

- Price & delivery section
","","1. The product details page contains:

- Breadcrumbs
- Product title
- Product main image
- Product Image Gallery
- Properties with See more/ See less buttons
- Descriptions with See more/ See less buttons
- Specifications
- Customize your order

- Related products section

- Price & delivery section
","","1. Open product_1 with variations
2. Look through the page.

","Other"
"","","","","","","","","","","
Step Description:
1. Check the Photo gallery
2. Click any photo 
Expected Result:
1. Photo opens as main picture","","1. Photo opens as main picture","","1. Check the Photo gallery
2. Click any photo ",""
"","","","","","","","","","","
Step Description:
1. Pay attention to the Customize your order block
Expected Result:
1. One product row contains: 


- SKU Number
- Properties
- Your price Sale price/List price per item
- Input field with button Add to cart
- In stock count


 ![](index.php?/attachments/get/192dca6b-e75d-460f-a4fa-b96541eeede5) 



","","1. One product row contains: 


- SKU Number
- Properties
- Your price Sale price/List price per item
- Input field with button Add to cart
- In stock count


 ![](index.php?/attachments/get/192dca6b-e75d-460f-a4fa-b96541eeede5) 



","","1. Pay attention to the Customize your order block",""
